iter	Passed	Remaining
0	2	2962
1	5	3123
2	7	3037
3	10	2968
4	12	2974
5	15	2946
6	17	2898
7	19	2883
8	22	2892
9	24	2878
10	27	2855
11	29	2865
12	32	2856
13	34	2842
14	36	2848
15	39	2860
16	41	2849
17	44	2837
18	47	2856
19	49	2857
20	51	2843
21	54	2840
22	56	2843
23	59	2845
24	61	2842
25	64	2846
26	66	2842
27	69	2837
28	71	2837
29	74	2827
30	76	2821
31	79	2826
32	81	2818
33	84	2820
34	86	2817
35	89	2823
36	91	2817
37	94	2818
38	96	2812
39	99	2806
40	101	2797
41	104	2817
42	106	2811
43	109	2803
44	112	2810
45	114	2811
46	116	2802
47	119	2805
48	122	2800
49	124	2794
50	126	2789
51	129	2786
52	131	2779
53	134	2780
54	137	2784
55	139	2782
56	142	2780
57	144	2779
58	147	2776
59	149	2772
60	151	2770
61	154	2766
62	156	2766
63	159	2762
64	162	2765
65	164	2759
66	167	2757
67	169	2754
68	171	2750
69	174	2751
70	177	2749
71	179	2750
72	182	2746
73	184	2743
74	187	2740
75	190	2743
76	192	2738
77	194	2733
78	197	2728
79	199	2723
80	201	2717
81	204	2717
82	206	2713
83	209	2710
84	211	2708
85	213	2704
86	216	2701
87	219	2706
88	221	2702
89	224	2698
90	226	2693
91	228	2690
92	231	2686
93	233	2681
94	236	2678
95	238	2677
96	241	2674
97	243	2672
98	246	2668
99	248	2663
100	250	2659
101	253	2656
102	255	2653
103	257	2650
104	260	2647
105	262	2644
106	265	2640
107	267	2638
108	270	2636
109	272	2633
110	274	2629
111	277	2627
112	279	2624
113	282	2622
114	284	2618
115	287	2615
116	289	2612
117	291	2607
118	294	2605
119	296	2602
120	299	2600
121	301	2597
122	303	2593
123	306	2590
124	308	2586
125	311	2587
126	313	2584
127	316	2580
128	318	2578
129	321	2576
130	323	2574
131	326	2571
132	328	2568
133	330	2565
134	333	2562
135	335	2560
136	338	2557
137	340	2554
138	343	2552
139	345	2550
140	348	2548
141	350	2544
142	353	2542
143	355	2539
144	357	2537
145	360	2534
146	362	2531
147	365	2529
148	367	2527
149	370	2524
150	372	2520
151	374	2517
152	377	2516
153	379	2512
154	382	2508
155	384	2508
156	387	2506
157	389	2504
158	392	2500
159	394	2498
160	396	2494
161	399	2491
162	402	2490
163	404	2488
164	406	2486
165	409	2484
166	412	2482
167	414	2480
168	417	2479
169	419	2477
170	422	2475
171	424	2472
172	427	2469
173	429	2466
174	431	2463
175	434	2460
176	436	2458
177	439	2456
178	441	2454
179	444	2451
180	446	2449
181	449	2445
182	451	2442
183	453	2439
184	456	2435
185	458	2433
186	460	2430
187	463	2427
188	465	2425
189	468	2422
190	470	2420
191	473	2417
192	475	2415
193	478	2413
194	480	2410
195	483	2407
196	485	2405
197	488	2403
198	490	2400
199	492	2398
200	495	2395
201	498	2394
202	500	2392
203	503	2389
204	505	2387
205	507	2384
206	510	2382
207	512	2379
208	515	2376
209	517	2374
210	520	2372
211	522	2369
212	525	2367
213	527	2365
214	530	2363
215	532	2361
216	535	2361
217	538	2358
218	540	2355
219	543	2353
220	545	2351
221	548	2348
222	550	2346
223	553	2343
224	555	2340
225	558	2338
226	560	2336
227	563	2333
228	565	2330
229	567	2327
230	570	2325
231	572	2322
232	575	2320
233	577	2318
234	580	2315
235	582	2312
236	585	2310
237	587	2308
238	589	2305
239	592	2302
240	594	2299
241	597	2297
242	599	2295
243	602	2292
244	605	2292
245	607	2290
246	610	2288
247	612	2285
248	615	2283
249	617	2280
250	620	2278
251	622	2275
252	625	2273
253	627	2270
254	630	2268
255	632	2266
256	635	2263
257	637	2260
258	639	2257
259	642	2255
260	644	2252
261	646	2249
262	649	2247
263	651	2244
264	654	2241
265	656	2239
266	659	2237
267	661	2234
268	664	2232
269	666	2230
270	669	2227
271	671	2224
272	673	2221
273	676	2218
274	678	2216
275	681	2214
276	683	2212
277	686	2210
278	688	2207
279	691	2205
280	693	2202
281	696	2199
282	699	2198
283	701	2196
284	704	2193
285	706	2191
286	708	2188
287	711	2185
288	713	2182
289	715	2179
290	718	2177
291	720	2174
292	723	2173
293	725	2170
294	728	2167
295	730	2164
296	733	2162
297	735	2159
298	738	2157
299	740	2155
300	742	2152
301	745	2149
302	747	2147
303	750	2145
304	753	2143
305	755	2141
306	758	2138
307	760	2136
308	762	2133
309	766	2132
310	768	2130
311	771	2127
312	773	2125
313	775	2122
314	778	2119
315	780	2117
316	783	2114
317	785	2111
318	787	2109
319	790	2106
320	792	2104
321	795	2101
322	797	2099
323	800	2097
324	802	2094
325	805	2092
326	808	2090
327	810	2087
328	812	2084
329	815	2082
330	817	2079
331	820	2077
332	822	2075
333	825	2072
334	827	2070
335	830	2067
336	832	2065
337	835	2063
338	837	2060
339	840	2058
340	842	2055
341	845	2053
342	847	2051
343	850	2049
344	853	2047
345	855	2044
346	857	2042
347	860	2039
348	862	2036
349	865	2034
350	867	2032
351	870	2029
352	872	2027
353	875	2026
354	878	2023
355	880	2020
356	883	2020
357	886	2017
358	888	2015
359	891	2013
360	893	2010
361	896	2008
362	899	2006
363	901	2004
364	904	2001
365	906	1999
366	909	1997
367	911	1994
368	914	1992
369	916	1989
370	919	1986
371	922	1987
372	925	1984
373	927	1981
374	930	1979
375	933	1979
376	936	1977
377	939	1976
378	942	1973
379	944	1971
380	947	1968
381	949	1966
382	952	1964
383	955	1962
384	957	1960
385	960	1957
386	962	1955
387	965	1953
388	967	1950
389	970	1948
390	973	1946
391	975	1943
392	978	1941
393	981	1939
394	983	1937
395	986	1934
396	989	1933
397	991	1931
398	994	1928
399	996	1926
400	999	1924
401	1001	1921
402	1004	1919
403	1006	1916
404	1009	1913
405	1011	1911
406	1014	1909
407	1016	1906
408	1019	1903
409	1021	1901
410	1024	1898
411	1026	1896
412	1028	1893
413	1031	1891
414	1034	1888
415	1036	1886
416	1038	1883
417	1041	1880
418	1043	1878
419	1046	1875
420	1048	1873
421	1051	1870
422	1053	1868
423	1056	1866
424	1058	1863
425	1061	1861
426	1063	1858
427	1066	1855
428	1068	1853
429	1071	1850
430	1073	1848
431	1075	1845
432	1078	1843
433	1081	1840
434	1083	1838
435	1086	1836
436	1088	1833
437	1091	1830
438	1093	1828
439	1095	1825
440	1098	1823
441	1100	1820
442	1103	1818
443	1105	1815
444	1108	1813
445	1110	1810
446	1113	1807
447	1116	1806
448	1118	1803
449	1121	1801
450	1123	1798
451	1126	1796
452	1128	1793
453	1131	1791
454	1133	1789
455	1136	1786
456	1138	1784
457	1141	1781
458	1143	1779
459	1146	1776
460	1149	1775
461	1151	1772
462	1154	1769
463	1156	1767
464	1158	1764
465	1161	1762
466	1163	1759
467	1166	1756
468	1168	1754
469	1171	1752
470	1173	1749
471	1176	1747
472	1179	1745
473	1181	1742
474	1184	1740
475	1187	1738
476	1189	1735
477	1192	1733
478	1194	1731
479	1197	1728
480	1199	1726
481	1202	1724
482	1205	1721
483	1207	1719
484	1210	1716
485	1212	1714
486	1215	1712
487	1218	1710
488	1221	1708
489	1224	1706
490	1226	1704
491	1229	1702
492	1232	1699
493	1234	1697
494	1237	1695
495	1240	1692
496	1243	1690
497	1245	1688
498	1248	1685
499	1250	1683
500	1253	1680
501	1255	1678
502	1258	1676
503	1261	1674
504	1263	1671
505	1266	1669
506	1268	1666
507	1271	1664
508	1274	1662
509	1276	1659
510	1279	1657
511	1281	1654
512	1284	1652
513	1287	1650
514	1289	1648
515	1292	1645
516	1294	1643
517	1297	1640
518	1299	1637
519	1302	1635
520	1304	1633
521	1307	1630
522	1309	1627
523	1311	1624
524	1314	1622
525	1316	1619
526	1319	1617
527	1321	1614
528	1324	1612
529	1326	1609
530	1329	1607
531	1331	1604
532	1334	1602
533	1337	1599
534	1339	1597
535	1341	1594
536	1344	1592
537	1346	1589
538	1349	1586
539	1351	1584
540	1354	1582
541	1356	1579
542	1359	1577
543	1361	1574
544	1364	1572
545	1366	1569
546	1369	1567
547	1371	1564
548	1374	1562
549	1377	1559
550	1379	1557
551	1381	1554
552	1384	1552
553	1386	1549
554	1389	1546
555	1391	1544
556	1394	1541
557	1397	1539
558	1399	1537
559	1402	1534
560	1404	1532
561	1406	1529
562	1409	1526
563	1411	1524
564	1414	1522
565	1416	1519
566	1419	1517
567	1422	1514
568	1424	1512
569	1426	1509
570	1429	1507
571	1432	1504
572	1434	1502
573	1437	1500
574	1439	1497
575	1442	1495
576	1445	1493
577	1447	1490
578	1450	1487
579	1453	1485
580	1455	1483
581	1458	1480
582	1460	1478
583	1463	1475
584	1465	1473
585	1468	1471
586	1471	1468
587	1473	1466
588	1476	1463
589	1478	1461
590	1481	1458
591	1484	1456
592	1486	1453
593	1488	1451
594	1491	1448
595	1493	1446
596	1496	1443
597	1498	1441
598	1501	1438
599	1503	1436
600	1506	1433
601	1509	1431
602	1511	1429
603	1514	1426
604	1517	1424
605	1519	1421
606	1522	1419
607	1524	1416
608	1527	1414
609	1529	1411
610	1532	1409
611	1534	1407
612	1537	1404
613	1540	1402
614	1542	1399
615	1545	1397
616	1547	1394
617	1550	1392
618	1552	1389
619	1555	1387
620	1557	1384
621	1560	1382
622	1562	1379
623	1565	1376
624	1567	1374
625	1569	1371
626	1572	1369
627	1575	1367
628	1577	1364
629	1579	1361
630	1582	1359
631	1584	1356
632	1587	1354
633	1589	1351
634	1592	1349
635	1594	1346
636	1597	1344
637	1599	1341
638	1602	1338
639	1604	1336
640	1607	1333
641	1609	1331
642	1612	1328
643	1614	1326
644	1617	1324
645	1620	1321
646	1622	1319
647	1625	1316
648	1627	1314
649	1630	1311
650	1632	1309
651	1635	1306
652	1638	1304
653	1640	1301
654	1643	1299
655	1645	1297
656	1648	1294
657	1650	1292
658	1653	1289
659	1655	1287
660	1658	1284
661	1661	1282
662	1664	1280
663	1666	1277
664	1668	1274
665	1671	1272
666	1674	1270
667	1676	1267
668	1679	1264
669	1681	1262
670	1684	1259
671	1686	1257
672	1689	1254
673	1691	1252
674	1694	1250
675	1696	1247
676	1699	1245
677	1701	1242
678	1704	1240
679	1706	1237
680	1709	1235
681	1712	1232
682	1715	1230
683	1717	1227
684	1719	1225
685	1722	1222
686	1725	1220
687	1728	1218
688	1731	1216
689	1733	1213
690	1735	1210
691	1738	1208
692	1741	1206
693	1743	1203
694	1746	1201
695	1748	1198
696	1751	1195
697	1753	1193
698	1756	1190
699	1758	1188
700	1761	1186
701	1764	1183
702	1766	1180
703	1769	1178
704	1771	1176
705	1774	1173
706	1776	1171
707	1779	1168
708	1781	1165
709	1784	1163
710	1786	1160
711	1789	1158
712	1792	1156
713	1794	1153
714	1797	1151
715	1799	1148
716	1802	1146
717	1804	1143
718	1807	1141
719	1809	1138
720	1812	1136
721	1814	1133
722	1817	1131
723	1819	1128
724	1822	1126
725	1824	1123
726	1827	1121
727	1829	1118
728	1832	1116
729	1835	1113
730	1837	1111
731	1840	1108
732	1843	1106
733	1845	1103
734	1848	1101
735	1850	1098
736	1852	1096
737	1855	1093
738	1857	1091
739	1860	1088
740	1863	1086
741	1865	1083
742	1867	1080
743	1870	1078
744	1872	1075
745	1875	1073
746	1877	1070
747	1880	1068
748	1882	1065
749	1884	1063
750	1887	1060
751	1890	1058
752	1892	1055
753	1894	1052
754	1897	1050
755	1899	1047
756	1902	1045
757	1904	1042
758	1906	1040
759	1909	1037
760	1911	1034
761	1914	1032
762	1916	1029
763	1919	1027
764	1921	1024
765	1923	1022
766	1926	1019
767	1928	1017
768	1931	1014
769	1933	1012
770	1936	1009
771	1938	1006
772	1941	1004
773	1943	1001
774	1946	999
775	1948	996
776	1951	994
777	1953	991
778	1956	989
779	1958	986
780	1960	984
781	1963	981
782	1965	979
783	1968	976
784	1971	974
785	1973	971
786	1975	969
787	1978	966
788	1980	964
789	1983	961
790	1985	958
791	1988	956
792	1990	953
793	1993	951
794	1995	948
795	1998	946
796	2000	943
797	2003	941
798	2005	938
799	2008	936
800	2010	933
801	2013	931
802	2015	928
803	2018	926
804	2020	923
805	2023	921
806	2025	918
807	2028	916
808	2030	913
809	2032	911
810	2035	908
811	2038	906
812	2040	903
813	2043	901
814	2067	908
815	2074	907
816	2080	906
817	2084	904
818	2087	902
819	2091	900
820	2094	898
821	2097	895
822	2101	893
823	2104	891
824	2107	889
825	2110	886
826	2114	884
827	2117	882
828	2120	879
829	2123	877
830	2126	875
831	2129	872
832	2132	870
833	2134	867
834	2137	865
835	2139	862
836	2142	859
837	2144	857
838	2147	854
839	2149	852
840	2153	849
841	2155	847
842	2158	844
843	2161	842
844	2163	839
845	2166	837
846	2169	834
847	2171	832
848	2173	829
849	2176	827
850	2179	824
851	2181	821
852	2183	819
853	2186	816
854	2188	814
855	2191	811
856	2193	808
857	2196	806
858	2198	803
859	2201	801
860	2203	798
861	2206	795
862	2208	793
863	2211	790
864	2213	788
865	2216	785
866	2218	782
867	2221	780
868	2223	777
869	2226	775
870	2228	772
871	2231	770
872	2233	767
873	2236	764
874	2238	762
875	2241	759
876	2243	757
877	2246	754
878	2248	752
879	2251	749
880	2253	747
881	2256	744
882	2258	741
883	2261	739
884	2263	736
885	2266	734
886	2268	731
887	2271	728
888	2273	726
889	2276	723
890	2278	721
891	2281	718
892	2284	716
893	2286	713
894	2289	711
895	2292	708
896	2295	706
897	2297	703
