Model,Accuracy(thr=best_thr),F1(thr=best_thr),ROC_AUC
XGB,0.9844897959183674,0.9130832570905764,0.9963225438238891
LGB,0.9823673469387755,0.9005524861878453,0.9959589074602527
CAT,0.980734693877551,0.8909426987060998,0.9955737464329393
GBDT,0.9800816326530613,0.8884826325411335,0.9951957602935182
RF,0.9697959183673469,0.827906976744186,0.9897379535262945
LR,0.8994285714285715,0.5668073136427567,0.935023562984101
DT,0.9500408163265306,0.7495908346972177,0.9315973909498574
NB,0.8128979591836735,0.3758169934640523,0.8228947411333061
MLP,0.5939591836734693,0.24061068702290075,0.6760210354667755
SVM,0.9102040816326531,0.0,0.5
